Description,Description Summarized,Sector,Industry Group,Industry,Sub-Industry
"Southern Copper Corporation is an integrated copper producer. The Company produces copper and, in the production process, obtains several by-products, including molybdenum, silver, zinc, sulfuric acid and other metals. Its segments include the Peruvian operations, the Mexican open-pit copper mines and the Mexican underground mining operations segment identified as the IMMSA unit. The Peruvian operations segment includes the Toquepala and Cuajone mine complexes, and the smelting and refining plants, including a metals plant industrial railroad and port facilities that service both mines. The Mexican open-pit operations segment includes the La Caridad and Buenavista mine complexes, and the smelting and refining plants, including a metals plant and a copper rod plant, and support facilities that service both mines. The Mexican underground mining operations segment includes five underground mines that produce zinc, copper, silver and gold, and a zinc refinery. "," Southern Copper Corporation is an integrated copper producer. The Company produces copper and obtains several by-products, including molybdenum, silver, zinc, sulfuric acid and other metals. Its segments include the Peruvian operations, the Mexican open-pit copper mines and the Mexican underground mining operations.",Materials,Materials,Metals & Mining,Copper
"Coeur Mining, Inc. is a precious metals producer with assets located in the United States, Mexico and Canada. The Company operates through five segments: Palmarejo, Rochester, Kensington, Wharf and, Silvertip mines. The Palmarejo gold-silver complex, located in the State of Chihuahua in Northern Mexico. The Company also carries out exploration activities the Palmarejo property package. The Rochester open pit heap leach silver-gold mine located in northwestern Nevada. The Kensington underground gold mine located north of Juneau, Alaska. The Wharf open pit heap leach gold mine located near Lead, South Dakota. The Silvertip underground silver-zinc-lead development project located in northern British Columbia, Canada. In addition, the Company has interests in several precious metals' exploration projects throughout North America, including the wholly-owned Crown and Sterling projects in southern Nevada."," Coeur Mining, Inc. is a precious metals producer with assets located in the United States, Mexico and Canada. The Company operates through five segments: Palmarejo, Rochester, Kensington, Wharf and, Silvertip mines. The company has interests in several precious metals' exploration projects throughout North America.",Materials,Materials,Metals & Mining,Gold
"Comstock Inc., formerly Comstock Mining Inc., is engaged in developing technologies that enable systemic decarbonization and circularity by converting supplies of waste and other under-utilized natural resources into renewable fuels and electrification products that contribute to balancing global uses and emissions of carbon. The Company offers electrification (LiNiCo) and cellulosic fuels (Bioleum) products. It converts wasted and unused biomass feedstock into cellulosic ethanol and drop-in fuels. The Company's technologies are designed to crush, separate, and condition every class of lithium-ion battery feedstock together with their host devices and other electrification materials for client flexibility."," Comstock Inc., formerly Comstock Mining Inc., is engaged in developing technologies that enable systemic decarbonization and circularity by converting supplies of waste and other under-utilized natural resources into renewable fuels and electrification products. The Company offers electrification (LiNiCo) and cellulosic fuels (Bioleum) products.",Materials,Materials,Metals & Mining,Gold
"Gold Resource Corporation is a gold and silver producer, developer, and explorer with its operations centered on the Don David Gold Mine in Oaxaca, Mexico. The Company is focused on its existing infrastructure and land position surrounding the mine, and to develop the Back Forty Project in Michigan, United States. The Back Forty Project has a polymetallic (gold, silver, copper, lead, and zinc) Volcanogenic Massive Sulfide deposit. At its Don David Gold Mine, it has 100% interest in six properties, including two production stage properties and four exploration stage properties, located in Oaxaca, Mexico, along the approximately 55 kilometers long San Jose structural corridor. Its two production stage properties include Arista and Alta Gracia Mines. The Alta Gracia project is approximately 20 kilometers northeast of the village of San Pedro Totalapam. Its four exploration properties consist of Margaritas Property, Chamizo Property, Fuego Property and Rey Property."," Gold Resource Corporation is a gold and silver producer, developer, and explorer with its operations centered on the Don David Gold Mine in Oaxaca, Mexico. The Back Forty Project has a polymetallic (gold, silver, copper, lead, and zinc) Volcanogenic Massive Sulfide deposit.",Materials,Materials,Metals & Mining,Gold
"Golden Minerals Company is a mining company. It is primarily focused on mining operations at the Rodeo gold mine (Rodeo Property). Its mining properties include Rodeo Property, the Velardena Properties, the El Quevar and others. It has two segments, one for its revenue producing activities in Mexico, which includes both the Velardena Properties and the Rodeo Property, and the other comprised of non-revenue producing activities, including exploration, construction, and general and administrative activities. Rodeo project is located about two kilometers (km) east of the town of Rodeo in Durango State, Mexico. Rodeo project consists of two mineral concessions totaling about 1,866 hectares (ha). Velardena Properties are located approximately 65 km southwest of the city of Torreon, Coahuila. Its El Quevar silver exploration project is in the San Antonio de los Cobres municipality, Salta Province, Argentina. It has about 12 exploration properties located in Mexico, Nevada, and Argentina."," Golden Minerals Company is a mining company. It is primarily focused on mining operations at the Rodeo gold mine (Rodeo Property) It has about 12 exploration properties located in Mexico, Nevada, and Argentina. It has two segments, one for revenue producing activities in Mexico and the other for non-revenue producing activities.",Materials,Materials,Metals & Mining,Precious Metals & Minerals
"Hecla Mining Company discovers, acquires and develops mines and other mineral interests and produces and markets concentrates containing silver, gold, lead and zinc; carbon material containing silver and gold, and unrefined dore containing silver and gold. The Company's segments include Greens Creek, Lucky Friday, Casa Berardi and the Nevada Operations. It produces zinc, silver and precious metals flotation concentrates at Greens Creek and silver and zinc flotation concentrates at Lucky Friday. At Greens Creek, it also produces gravity concentrates containing payable silver, gold and lead. It also produces unrefined gold and silver bullion bars (dore), loaded carbon and precipitates at Casa Berardi and the Nevada Operations. Its 100 % Casa Berardi unit is located in the Abitibi region of northwestern Quebec, Canada. Its Nevada Operations consists of four land packages in northern Nevada totaling approximately 110 square miles."," Hecla Mining Company discovers, acquires and develops mines and other mineral interests. The Company's segments include Greens Creek, Lucky Friday, Casa Berardi and the Nevada Operations. It produces zinc, silver and precious metals flotation concentrates at Greens Creek and silver and zinc flotation.",Materials,Materials,Metals & Mining,Silver
"Hycroft Mining Holding Corporation is a gold and silver development company. The Company is engaged in the operations, development and exploration activities of Hycroft Mine. The Company’s Hycroft Mine, is an open-pit oxide mining and heap leach processing operation. The Company’s Hycroft Mine is located approximately 54 miles west of Winnemucca, Nevada. The Company covers an approximately 70,671 acres of patented and unpatented claims. The Hycroft Mine is located on the western flank of the Kamma Mountains on the eastern edge of the Black Rock Desert. The mining claims are comprised of two properties, Crofoot and Lewis. The Crofoot property covers over 3,500 acres and is virtually surrounded by approximately 8,400 acres of the Lewis property."," Hycroft Mining Holding Corporation is a gold and silver development company. Company covers an approximately 70,671 acres of patented and unpatented claims. The Hycroft Mine is located on the western flank of the Kamma Mountains on the eastern edge of the Black Rock Desert.",Materials,Materials,Metals & Mining,Gold
"McEwen Mining Inc. is a mining and minerals production and exploration company. The Company is engaged in the exploration, development, production and sale of gold and silver and exploration for copper. The Company is focused on precious and base metals in the United States, Canada, Mexico and Argentina. Its segments include United States, Canada, Mexico, Minera Santa Cruz (MSC) and Los Azules. The Company's projects include San Jose Mine, Fox Complex, Gold Bar, El Gallo, Project Fenix, Los Azules and Lexam. The Gold Bar mine is located in the southern Roberts Mountains of the Battle Mountain-Eureka-Cortez gold trend in Eureka County, Central Nevada. The Fox Complex is located at the Timmins Gold Mining Camp in Northern Ontario, Canada. Its main properties include Black Fox, Stock and Lexam. The San Jose silver-gold mine is located in the Santa Cruz province of Argentina, approximately 350 kilometers southwest of the Atlantic port city of Comodoro Rivadavia."," McEwen Mining Inc. is a mining and minerals production and exploration company. Company is focused on precious and base metals in the United States, Canada, Mexico and Argentina. Company's projects include San Jose Mine, Fox Complex, Gold Bar, El Gallo, Project Fenix, Los Azules and Lexam.",Materials,Materials,Metals & Mining,Gold
"Newmont Corporation is a gold producer. The Company is also engaged in the production of copper, silver, lead and zinc. It operates through five segments: North America, South America, Australia, Africa and Nevada. The North America segment consists primarily of Cripple Creek & Victor (CC&V) in the United States of America, Musselwhite, Porcupine and Eleonore in Canada and Penasquito in Mexico. Its South America segment consists primarily of Yanacocha in Peru, Merian in Suriname, Cerro Negro in Argentina and has interest in the Pueblo Viejo mine in the Dominican Republic. The Company’s Australia segment consists primarily of Boddington and Tanami in Australia. Its Africa segment consists primarily of Ahafo and Akyem in Ghana. The Company’s Nevada segment included Carlin, Phoenix, Twin Creeks and Long Canyon in the United States. The Company has a gold reserve of approximately 92.8 million ounces. It also has interests in Heart Peaks, Castle, Moat, Coyote, and North ROK properties. "," Newmont Corporation is a gold producer. Company is also engaged in the production of copper, silver, lead and zinc. It operates through five segments: North America, South America, Australia, Africa and Nevada. The Company has a gold reserve of approximately 92.8 million ounces.",Materials,Materials,Metals & Mining,Gold
"Paramount Gold Nevada Corp. is a precious metals exploration and development company. The Company is engaged in the business of acquiring, exploring and developing precious metal projects in the United States of America. The Company owns exploration projects in the states of Nevada and Oregon. The Company’s wholly owned subsidiaries include New Sleeper Gold LLC, Sleeper Mining Company, LLC, and Calico Resources USA Corp. Its projects include Grassy Mountain Gold Project, Sleeper Gold Project, and Frost Project. The Grassy Mountain Gold Project consists of approximately 11,000 acres located on private and bureau of land management (BLM) land in Malheur County, Oregon. The Grassy Mountain Gold Project contains a gold-silver deposit. The Sleeper Gold Project hosts gold deposit. The Frost Project is located in the Owyhee uplands of southeastern Oregon is approximately 70 miles west of Boise, Idaho and 12 miles west of Grassy Mountain Gold project (Grassy)."," Paramount Gold Nevada Corp. owns exploration projects in the states of Nevada and Oregon. The Grassy Mountain Gold Project consists of approximately 11,000 acres located on private and bureau of land management (BLM) land. The Sleeper Gold Project contains a gold-silver deposit. The Frost Project is located in the Owyhee uplands of southeastern Oregon.",Materials,Materials,Metals & Mining,Gold
"Uranium Energy Corp. is a uranium mining company. The Company is engaged in uranium and titanium mining and related activities, including exploration, pre-extraction, extraction and processing of uranium concentrates and titanium minerals, on projects located in the United States, Canada and the Republic of Paraguay. The Company has projects located in Texas, Wyoming, Paraguay, Mexico, Arizona and Canada. The Company’s projects in Texas include Hobson Processing Plant, Palangana Mine, Goliad in-situ recovery (ISR) Project, Burke Hollow ISR Project, Salvo Project and Longhorn Project; Wyoming includes Reno Creek Project; Paraguay includes Oviedo Project, Yuty Project and Alto Parana Project; Mexico includes Dalton Pass Project and C de Baca Project; Arizona includes Anderson Project, Los Cuatros Project and Workman Creek Project, and Canada includes Diabase Project. The Company has approximately two production platforms in South Texas and Wyoming. "," Uranium Energy Corp. is engaged in uranium and titanium mining. The Company has projects located in Texas, Wyoming, Paraguay, Mexico, Arizona and Canada. The company has approximately two production platforms in South Texas and Wyoming. It has projects in Mexico, Canada, Canada and the Republic of Paraguay.",Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
"Westwater Resources Inc. is a diversified energy materials developer. The Company holds battery-graphite development properties in Alabama. The Company’s projects include Coosa Graphite Project, Bama Mine Project, COOSA Graphite-Vanadium Project. The Company’s COOSA Graphite Project comprises of 42,000 acres (more than 65 square miles) and is a graphite project. It is located in western Coosa County, east-central Alabama, the United States of America (USA). The Bama Mine Project is located in Alabama Graphite Belt and comprises of 1,300 acres of land. The vanadium mineralization at the Coosa project occurs principally as the mineral roscoelite, a medium to dark green mica mineral that has been a global source for vanadium."," Westwater Resources Inc. holds battery-graphite development properties in Alabama. Company’s projects include Coosa Graphite Project, Bama Mine Project, COOSA Graphite-Vanadium Project. Coosa project comprises of 42,000 acres (more than 65 square miles) and is a graphite project.",Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
"Alliance Resource Partners, L.P. is an energy company. The Company operates through four segments: Illinois Basin Coal Operations, Appalachia Coal Operations, Oil & Gas Royalties and Coal Royalties. The Illinois Basin Coal Operation includes the Gibson County Coal, LLC mining complex; the Warrior Coal, LLC mining complex; the River View Coal, LLC mining complex and the Hamilton County Coal, LLC mining complex. The Appalachia Coal Operations include the Mettiki mining complex, the Tunnel Ridge mining complex and the MC Mining, LLC mining complex. The Oil & Gas Royalties includes oil and gas mineral interests held by AR Midland and AllDale I & II and includes Alliance Minerals' equity interests in both AllDale III and Cavalier Minerals. The Coal Royalties include coal mineral reserves and resources owned or leased by Alliance Resource Properties that are leased to its mining complexes in both the Illinois Basin Coal Operations and Appalachia Coal Operations."," Alliance Resource Partners, L.P. is an energy company. The Company operates through four segments: Illinois Basin Coal Operations, Appalachia Coal Operations and Oil & Gas Royalties. The Coal Royalties include coal mineral reserves and resources owned or leased by Alliance Resource Properties that are leased to its mining complexes.",Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
"American Resources Corporation is a supplier of quality raw materials to the infrastructure market. The Company is focused on the extraction and processing of metallurgical carbon, an ingredient used in steelmaking, critical and rare earth minerals for the electrification market, and reprocessed metal to be recycled. It has a portfolio of operations located in the Central Appalachian basin of eastern Kentucky and southern West Virginia. It has seven coal mining and processing operating subsidiaries: McCoy Elkhorn Coal LLC (McCoy Elkhorn), Knott County Coal LLC, Deane Mining, LLC (Deane Mining), Wyoming County Coal LLC, Quest Processing LLC (Quest Processing), Perry County Resources and ERC Mining Indiana Corporation (ERC). McCoy Elkhorn mines and sells metallurgical carbon. Deane Mining produces and sells pulverized coal injection products to the steel industry. Quest Processing manages the assets, operations, and personnel of the certain coal processing and transportation facilities."," American Resources Corporation is a supplier of quality raw materials to the infrastructure market. The Company is focused on the extraction and processing of metallurgical carbon, an ingredient used in steelmaking, critical and rare earth minerals for the electrification market, and reprocessed metal to be recycled. It has a portfolio of operations located in the Central Appalachian basin of eastern Kentucky and southern West Virginia.",Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
"Arch Resources, Inc. is a producer of coal and metallurgical products for steel industry. The Company is a supplier of premium High-Vol A metallurgical coal globally. The Company’s segments include Metallurgical (MET) and Thermal. The MET segment contains the Company’s metallurgical operations in West Virginia. The Thermal segment contains the Company’s thermal operations in Wyoming and Colorado. It also produces low-emitting thermal products for sale to both domestic and international customers. The Company produces sub-bituminous thermal. It supplies thermal products to power generators and industrial customers from mines in Colorado and Illinois. The Company operates approximately seven active mines located in three of the coal-producing regions of the United States. The locations of its mines and access to export facilities enable it to ship coal worldwide."," Arch Resources, Inc. is a supplier of premium High-Vol A metallurgical coal globally. The Company operates approximately seven active mines located in three of the coal-producing regions of the United States. The locations of its mines and access to export facilities enable it to ship coal worldwide.",Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
"CONSOL Energy Inc. is a producer and exporter of high-Btu bituminous thermal and crossover metallurgical coal. The Company owns and operates longwall mining operations in the Northern Appalachian Basin The Company operates through two segments: the PAMC and the CONSOL Marine Terminal. The PAMC includes the Bailey Mine, the Enlow Fork Mine, the Harvey Mine, and a centralized preparation plant. The PAMC segment's principal activities include the mining, preparation, and marketing of bituminous coal, sold primarily to industrial end-users, power generators and metallurgical end-users. The Company's subsidiary, CONSOL Marine Terminals LLC provides coal export terminal services through the Port of Baltimore. The Company's flagship operation is the Pennsylvania Mining Complex, located in Greene and Washington counties. The Pennsylvania Mining Complex consists of Bailey Mine, Enlow Fork Mine, Harvey Mine, Centralized Coal Processing facility and Train Loadout facility."," CONSOL Energy Inc. is a producer and exporter of high-Btu bituminous thermal and crossover metallurgical coal. The Pennsylvania Mining Complex consists of Bailey Mine, Enlow Fork Mine, Harvey Mine, Centralized Coal Processing facility and Train Loadout facility. The Company's subsidiary, CONSOL Marine Terminals LLC provides coal export terminal services through the Port of Baltimore.",Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
"Hallador Energy Company is engaged in the exploration of energy sourcing. The Company is primarily focused on coal mining in the State of Indiana through Sunrise Coal, LLC (Sunrise Coal), serving the electric power generation industry. It also owns an interest in Sunrise Energy, LLC (Sunrise Energy), a private gas exploration company with operations in Indiana. The Company’s business includes Hallador Renewables, Sunrise Coal, Sunrise Energy and Logistics. Its Hallador Renewables business focuses on developing up to one Gigawatt (GW) of renewable energy through a joint venture with Hoosier Energy Cooperative. Its Sunrise Coal business operates mines, including Oaktown Mine 1, Oaktown Mine 2 and Ace in the Hole Mine, which is located in the Illinois Basin, Indiana. Its Sunrise Energy business is engaged in developing and exploring oil, gas, and coal-bed methane gas reserves on or near its underground coal reserves. Its Logistics business provides logistics facilities."," Hallador Energy Company is engaged in the exploration of energy sourcing. The Company’s business includes Hallador Renewables, Sunrise Coal, Sunrise Energy and Logistics. It also owns an interest in Sunrise Energy, LLC (Sunrise Energy), a private gas exploration company with operations in Indiana.",Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
"Peabody Energy Corporation is a producer of metallurgical and thermal coal. The Company’s segments include Seaborne Thermal Mining, Seaborne Metallurgical Mining, Powder River Basin Mining and Other United States (U.S.) Thermal Mining. The Company’s Seaborne Thermal Mining segment consists of mines in New South Wales, Australia. Its Seaborne Metallurgical Mining segment consists of mines in Queensland, Australia, one in New South Wales, Australia and one in Alabama, the United States. The Company’s Powder River Basin Mining segment consists of its mines in Wyoming. Its Other U.S. Thermal Mining segment includes operations that reflect the aggregation of its Illinois, Indiana, New Mexico and Colorado mining operations. The Company owns interests in over 17 coal mining operations located in the United States and Australia. It markets and brokers coal from other coal producers, both as principal and agent, and trades coal and freight-related contracts."," Peabody Energy Corporation is a producer of metallurgical and thermal coal. The Company owns interests in over 17 coal mining operations located in the United States and Australia. It markets and brokers coal from other coal producers, both as principal and agent, and trades coal and freight-related contracts.",Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
"Coterra Energy Inc. is an independent oil and gas company, which is engaged in the development, exploration and production of oil, natural gas and natural gas liquids (NGLs). The Company’s assets are concentrated in areas with hydrocarbon resources. The Company’s operations are primarily concentrated in three operating areas: the Marcellus Shale in northeast Pennsylvania, the Permian Basin in west Texas and southeast New Mexico, and the Anadarko Basin in the Mid-Continent region in Oklahoma. Its Marcellus Shale properties are principally located in Susquehanna County, Pennsylvania, where the Company holds approximately 177,000 net acres in the dry gas window in the Marcellus Shale. Its Permian Basin properties are principally located in the western half of the Permian Basin, where it holds approximately 306,000 net acres in the play. Its Anadarko Basin properties are principally located in Oklahoma, where it holds approximately 182,000 net acres in the play."," Coterra Energy Inc. is engaged in the development, exploration and production of oil, natural gas and natural gas liquids. The Company’s operations are primarily concentrated in three operating areas: the Marcellus Shale in northeast Pennsylvania, the Permian Basin in west Texas and southeast New Mexico.",Materials,Materials,Metals & Mining,Steel
